Col_ID,Section,Display_to_Users,In_Final_Individual_Dataset,Dropped_or_Not_Displayed_Reason,Manual_Display_Type,Processed_Data_Type,Short_Label,WVS_Variable_Title,Question_Text,Additional_Text,Original_Response_Options_Including_Missing,Processed_Response_Values,Processing_Notes,Missing_Data_Handling,ColLab,Source
Q183,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for prostitution,Justifiable: Prostitution,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Prostitution","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q183-Justifiable: Prostitution,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q184,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for abortion,Justifiable: Abortion,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Abortion","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q184-Justifiable: Abortion,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q185,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for divorce,Justifiable: Divorce,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Divorce","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q185-Justifiable: Divorce,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q186,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for sex before marriage,Justifiable: Sex before marriage,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Sex before marriage","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q186-Justifiable: Sex before marriage,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q187,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for suicide,Justifiable: Suicide,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Suicide","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q187-Justifiable: Suicide,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q188,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for euthanasia,Justifiable: Euthanasia,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Euthanasia","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q188-Justifiable: Euthanasia,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q189,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for a man to beat his wife,Justifiable: For a man to beat his wife,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. For a man to beat his wife","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q189-Justifiable: For a man to beat his wife,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q190,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for parents beating children,Justifiable: Parents beating children,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Parents beating children","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q190-Justifiable: Parents beating children,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q191,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for violence against other people,Justifiable: Violence against other people,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Violence against other people","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q191-Justifiable: Violence against other people,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q192,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for terrorism,"Justifiable: Terrorism as a political, ideological or religious mean","Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Terrorism as a political, ideological or religious mean","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.","Q192-Justifiable: Terrorism as a political, ideological or religious mean",WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q193,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for casual sex,Justifiable: Having casual sex,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Having casual sex","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q193-Justifiable: Having casual sex,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q194,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for political violence,Justifiable: Political violence,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Political violence","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q194-Justifiable: Political violence,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q195,ETHICAL VALUES AND NORMS,True,True,,integer,integer/numeric,Justification for the death penalty,Justifiable: Death penalty,"Please tell me for each of the following statements whether you think it can always be justified, never be justified, or something in between, using this card. Death penalty","1 = Never justifiable, 10 = Always justifiable",1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable; -1 = Don't know; -2 = No answer; -4 = Not asked in survey; -5 = Missing; Not available,1 = Never justifiable; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = Always justifiable,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q195-Justifiable: Death penalty,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q260,DEMOGRAPHICS,True,True,,factor,numeric,Respondent's sex,Sex,Respondent's sex,,1 = Male; 2 = Female; -2 = No answer; -4 = Not asked; -5 = Missing; Not available; AU: Other,0 = Female; 1 = Male,Custom recode in setup script; all unmatched responses and original negative missing codes are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q260-Sex,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q262,DEMOGRAPHICS,True,True,,integer,integer/numeric,Age,Age,This means you are XX years old? Numeric variable - numbers of years,,-1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,Numeric response values retained.,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q262-Age,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q263,DEMOGRAPHICS,True,True,,factor,numeric,Born in this country or immigrant,Respondent immigrant,Were you born in this country or are you an immigrant?,,1 = I am born in this country; 2 = I am an immigrant to this country (born outside this country); -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,0 = I am an immigrant to this country (born outside this country); 1 = I am born in this country,Custom recode in setup script; all unmatched responses and original negative missing codes are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q263-Respondent immigrant,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q275,DEMOGRAPHICS,True,True,,factor_ordered,ordered numeric in indiv_ordinal; ordered factor in intermediate indiv,Highest educational level of respondent,Highest educational level: Respondent [ISCED 2011],What is the highest educational level that you have attained?,,0 = Early childhood education (ISCED 0) / no education; 1 = Primary education (ISCED 1); 2 = Lower secondary education (ISCED 2); 3 = Upper secondary education (ISCED 3); 4 = Post-secondary non-tertiary education (ISCED 4); 5 = Short-cycle tertiary education (ISCED 5); 6 = Bachelor or equivalent (ISCED 6); 7 = Master or equivalent (ISCED 7); 8 = Doctoral or equivalent (ISCED 8); -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = Early childhood education (ISCED 0) / no education (original 0); 2 = Primary education (ISCED 1) (original 1); 3 = Lower secondary education (ISCED 2) (original 2); 4 = Upper secondary education (ISCED 3) (original 3); 5 = Post-secondary non-tertiary education (ISCED 4) (original 4); 6 = Short-cycle tertiary education (ISCED 5) (original 5); 7 = Bachelor or equivalent (ISCED 6) (original 6); 8 = Master or equivalent (ISCED 7) (original 7); 9 = Doctoral or equivalent (ISCED 8) (original 8),"Haven labelled values converted to an ordered factor, then ordered factors are converted to ordinal integers with negative missing codes set to NA.","Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q275-Highest educational level: Respondent [ISCED 2011],WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q288,DEMOGRAPHICS,True,True,,integer,integer/numeric,Income scale placement,Scale of incomes,"On this card is an income scale on which 1 indicates the lowest income group and 10 the highest income group in your country. We would like to know in what group your household is. Please, specify the appropriate number, counting all wages, salaries, pensions and other incomes that come in.","1 = Lowest group, 10 = Highest group",1 = Lower step; 2 = second step; 3 = Third step; 4 = Fourth step; 5 = Fifth step; 6 = Sixth step; 7 = Seventh step; 8 = Eight step; 9 = Nineth step; 10 = Tenth step; -1 = Don't know; -2 = No answer; -4 = Not asked; -5 = Missing; Not available,1 = Lower step; 2 = second step; 3 = Third step; 4 = Fourth step; 5 = Fifth step; 6 = Sixth step; 7 = Seventh step; 8 = Eight step; 9 = Nineth step; 10 = Tenth step,Original numeric values retained; all values below 0 are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q288-Scale of incomes,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
Q289,DEMOGRAPHICS,True,True,,factor,numeric,Belonging to a religion or religious denomination,Religious denominations - major groups,"Do you belong to a religion or religious denomination? If yes, which one?",,0 = Do not belong to a denomination; 1 = Roman Catholic; 2 = Protestant; 3 = Orthodox (Russian/Greek/etc.); 4 = Jew; 5 = Muslim; 6 = Hindu; 7 = Buddhist; 8 = Other Christian (Evangelical/Pentecostal/Fee church/etc.); 9 = Other; -1 = Don't know; -2 = No answer/refused; -5 = Missing; Not applicable for other reasons; -4 = Not asked,0 = Other; 1 = Other Christian (Jehova withness...); 2 = Buddhist; 3 = Hindu; 4 = Muslim; 5 = Jew; 6 = Orthodox (Russian/Greek/etc.); 7 = Protestant; 8 = Catholic (Roman/Greek/etc); 9 = Do not belong to a denomination,Custom recode in setup script; all unmatched responses and original negative missing codes are set to NA.,"Original negative missing/non-response codes (for example -1 Don't know, -2 No answer/refused, -4 Not asked, -5 Missing) are converted to NA before final output.",Q289-Religious denominations - major groups,WVS Wave 7 Variables Report V6.0; Codebook manual coded index.xlsx; WVS_Wave7_Setup.R
